Ticker,Year,Exists,ValidPdf,PdfCount,SizeMB,Pages,Title,Path,Note,SourceUrl
ABT,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://www.abbott.com/responsibility/sustainability/reporting/current-reports.html
AMZN,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://sustainability.aboutamazon.com/report
CVX,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://www.chevron.com/investors/reports-and-filings
ENPH,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://investor.enphase.com/
JNJ,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://healthforhumanityreport.jnj.com/2024/
JPM,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://www.jpmorganchase.com/about/governance/sustainability
MS,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://www.morganstanley.com/about-us/sustainability-reports-archive
PFE,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://www.pfizer.com/about/responsibility/responsible-business
PG,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://us.pg.com/citizenship/
UNH,2025,False,False,0,,,,,No 2025 local file; not confirmed published / not found in prior search.,https://www.unitedhealthgroup.com/sustainability.html
